datetime,pm25
20141006-12:00,52
20141006-13:00,53
20141006-14:00,52
20141006-15:00,21
20141006-16:00,22
20141006-17:00,23
20141006-18:00,24
20141006-19:00,24
20141006-20:00,25
20141006-21:00,26
20141006-22:00,28
20141006-23:00,38
20141007-0:00,60
20141007-1:00,69
20141007-2:00,69
20141007-3:00,72
20141007-4:00,70
20141007-5:00,64
20141007-6:00,55
20141007-7:00,50
20141007-8:00,49
20141007-9:00,48
20141007-10:00,44
20141007-11:00,37
20141007-12:00,34
20141007-13:00,33
20141007-14:00,34
20141007-15:00,34
20141007-16:00,30
20141007-17:00,29
20141007-18:00,30
20141007-19:00,32
20141007-20:00,40
20141007-21:00,56
20141007-22:00,68
20141007-23:00,82
20141008-0:00,124
20141008-1:00,151
20141008-2:00,142
20141008-3:00,137
20141008-4:00,134
20141008-5:00,156
20141008-6:00,169
20141008-7:00,149
20141008-8:00,144
20141008-9:00,138
20141008-10:00,115
20141008-11:00,94
20141008-12:00,78
20141008-13:00,66
20141008-14:00,57
20141008-15:00,67
20141008-16:00,77
20141008-17:00,89
20141008-18:00,101
20141008-19:00,116
20141008-20:00,133
20141008-21:00,152
20141008-22:00,136
20141008-23:00,152
20141009-0:00,146
20141009-1:00,142
20141009-2:00,141
20141009-3:00,122
20141009-4:00,109
20141009-5:00,107
20141009-6:00,105
20141009-7:00,104
20141009-8:00,106
20141009-9:00,108
20141009-10:00,125
20141009-11:00,138
20141009-12:00,143
20141009-13:00,99
20141009-14:00,86
20141009-15:00,72
20141009-16:00,53
20141009-17:00,46
20141009-18:00,42
20141009-19:00,52
20141009-20:00,77
20141009-21:00,66
20141009-22:00,62
20141009-23:00,54
20141010-0:00,53
20141010-1:00,56
20141010-2:00,60
20141010-3:00,59
20141010-4:00,59
20141010-5:00,58
20141010-6:00,56
20141010-7:00,58
20141010-8:00,59
20141010-9:00,59
20141010-10:00,45
20141010-11:00,39
20141010-12:00,38
20141010-13:00,36
20141010-14:00,33
20141010-15:00,33
20141010-16:00,38
20141010-17:00,40
20141010-18:00,46
20141010-19:00,66
20141010-20:00,123
20141010-21:00,190
20141010-22:00,204
20141010-23:00,223
20141011-0:00,254
20141011-1:00,274
20141011-2:00,241
20141011-3:00,198
20141011-4:00,141
20141011-5:00,134
20141011-6:00,122
20141011-7:00,122
20141011-8:00,119
20141011-9:00,117
20141011-10:00,87
20141011-11:00,89
20141011-12:00,78
20141011-13:00,64
20141011-14:00,58
20141011-15:00,53
20141011-16:00,52
20141011-17:00,60
20141011-18:00,65
20141011-19:00,70
20141011-20:00,72
20141011-21:00,61
20141011-22:00,53
20141011-23:00,41
20141012-0:00,34
20141012-1:00,31
20141012-2:00,28
20141012-3:00,26
20141012-4:00,24
20141012-5:00,23
20141012-6:00,24
20141012-7:00,23
20141012-8:00,22
20141012-9:00,20
20141012-10:00,19
20141012-11:00,18
20141012-12:00,17
20141012-13:00,14
20141012-14:00,13
20141012-15:00,14
20141012-16:00,14
20141012-17:00,15
20141012-18:00,14
20141012-19:00,14
20141012-20:00,15
20141012-21:00,17
20141012-22:00,20
20141012-23:00,21
20141013-0:00,29
20141013-1:00,37
20141013-2:00,41
20141013-3:00,44
20141013-4:00,39
20141013-5:00,38
20141013-6:00,40
20141013-7:00,47
20141013-8:00,47
20141013-9:00,40
20141013-10:00,32
20141013-11:00,28
20141013-12:00,28
20141013-13:00,33
20141013-14:00,34
20141013-15:00,43
20141013-16:00,52
20141013-17:00,65
20141013-18:00,76
20141013-19:00,104
20141013-20:00,143
20141013-21:00,206
20141013-22:00,284
20141013-23:00,313
20141014-0:00,333
20141014-1:00,257
20141014-2:00,282
20141014-3:00,324
20141014-4:00,352
20141014-5:00,345
20141014-6:00,367
20141014-7:00,336
20141014-8:00,361
20141014-9:00,317
20141014-10:00,207
20141014-11:00,159
20141014-12:00,159
20141014-13:00,166
20141014-14:00,144
20141014-15:00,125
20141014-16:00,120
20141014-17:00,123
20141014-18:00,120
20141014-19:00,129
20141014-20:00,181
20141014-21:00,219
20141014-22:00,306
20141014-23:00,340
20141015-0:00,344
20141015-1:00,341
20141015-2:00,297
20141015-3:00,329
20141015-4:00,343
20141015-5:00,304
20141015-6:00,257
20141015-7:00,203
20141015-8:00,169
20141015-9:00,133
20141015-10:00,94
20141015-11:00,81
20141015-12:00,71
20141015-13:00,65
20141015-14:00,60
20141015-15:00,61
20141015-16:00,62
20141015-17:00,68
20141015-18:00,61
20141015-19:00,46
20141015-20:00,42
20141015-21:00,44
20141015-22:00,45
20141015-23:00,41
20141016-0:00,37
20141016-1:00,33
20141016-2:00,32
20141016-3:00,32
20141016-4:00,31
20141016-5:00,28
20141016-6:00,26
20141016-7:00,25
20141016-8:00,24
20141016-9:00,26
20141016-10:00,25
20141016-11:00,23
20141016-12:00,24
20141016-13:00,27
20141016-14:00,35
20141016-15:00,38
20141016-16:00,43
20141016-17:00,50
20141016-18:00,58
20141016-19:00,70
20141016-20:00,97
20141016-21:00,214
20141016-22:00,197
20141016-23:00,130
20141017-0:00,130
20141017-1:00,124
20141017-2:00,114
20141017-3:00,110
20141017-4:00,103
20141017-5:00,105
20141017-6:00,101
20141017-7:00,98
20141017-8:00,93
20141017-9:00,78
20141017-10:00,75
20141017-11:00,64
20141017-12:00,63
20141017-13:00,75
20141017-14:00,71
20141017-15:00,60
20141017-16:00,60
20141017-17:00,78
20141017-18:00,112
20141017-19:00,202
20141017-20:00,289
20141017-21:00,427
20141017-22:00,440
20141017-23:00,468
20141018-0:00,475
20141018-1:00,466
20141018-2:00,453
20141018-3:00,509
20141018-4:00,594
20141018-5:00,544
20141018-6:00,394
20141018-7:00,328
20141018-8:00,250
20141018-9:00,211
20141018-10:00,133
20141018-11:00,112
20141018-12:00,116
20141018-13:00,107
20141018-14:00,101
20141018-15:00,93
20141018-16:00,88
20141018-17:00,85
20141018-18:00,115
20141018-19:00,267
20141018-20:00,298
20141018-21:00,250
20141018-22:00,170
20141018-23:00,141
20141019-0:00,131
20141019-1:00,124
20141019-2:00,118
20141019-3:00,113.5
20141019-4:00,109
20141019-5:00,107
20141019-6:00,105
20141019-7:00,103
20141019-8:00,101
20141019-9:00,101
20141019-10:00,94
20141019-11:00,84
20141019-12:00,75
20141019-13:00,76
20141019-14:00,77
20141019-15:00,74
20141019-16:00,70
20141019-17:00,60
20141019-18:00,56
20141019-19:00,55
20141019-20:00,58
20141019-21:00,53
